[2023-12-05 14:24:48,275] Filepath does not exist: ./models_dens2/best.h5
[2023-12-05 14:24:48,275] Initializing new model
[2023-12-05 14:30:44,265] Epoch 182, Loss 32.98823165893555, Lr: 0.00100000
[2023-12-05 14:30:46,485] Epoch 183, Loss 48.55047607421875, Lr: 0.00100000
[2023-12-05 14:30:52,328] Epoch 184, Loss 4.96776819229126, Lr: 0.00100000
[2023-12-05 14:30:58,843] Epoch 185, Loss 1.047100305557251, Lr: 0.00100000
[2023-12-05 14:30:59,737] Epoch 186, Loss 13.926950454711914, Lr: 0.00100000
[2023-12-05 14:31:01,299] Epoch 187, Loss 15.283735275268555, Lr: 0.00100000
[2023-12-05 14:31:05,973] Epoch 188, Loss 79.61561584472656, Lr: 0.00100000
[2023-12-05 14:31:06,868] Epoch 189, Loss 12.338544845581055, Lr: 0.00100000
[2023-12-05 14:31:11,343] Epoch 190, Loss 64.07938385009766, Lr: 0.00100000
[2023-12-05 14:31:13,203] Epoch 191, Loss 19.277759552001953, Lr: 0.00100000
[2023-12-05 14:31:15,734] Epoch 192, Loss 21.333003997802734, Lr: 0.00100000
[2023-12-05 14:31:16,358] Epoch 193, Loss 20.3283634185791, Lr: 0.00100000
[2023-12-05 14:31:17,980] Epoch 194, Loss 20.674720764160156, Lr: 0.00100000
[2023-12-05 14:31:19,332] Epoch 195, Loss 24.391742706298828, Lr: 0.00100000
[2023-12-05 14:31:20,614] Epoch 196, Loss 13.792993545532227, Lr: 0.00100000
[2023-12-05 14:31:26,906] Epoch 197, Loss 3.193206310272217, Lr: 0.00100000
[2023-12-05 14:31:27,860] Epoch 198, Loss 23.209747314453125, Lr: 0.00100000
[2023-12-05 14:31:31,629] Epoch 199, Loss 220.06838989257812, Lr: 0.00100000
[2023-12-05 14:31:32,477] Epoch 200, Loss 11.50752067565918, Lr: 0.00100000
[2023-12-05 14:31:34,276] Epoch 201, Loss 44.61688995361328, Lr: 0.00100000
[2023-12-05 14:31:35,691] Epoch 202, Loss 27.122098922729492, Lr: 0.00100000
[2023-12-05 14:31:36,442] Epoch 203, Loss 19.088655471801758, Lr: 0.00100000
[2023-12-05 14:31:38,143] Epoch 204, Loss 70.64071655273438, Lr: 0.00100000
[2023-12-05 14:31:42,621] Epoch 205, Loss 85.65647888183594, Lr: 0.00100000
[2023-12-05 14:31:43,187] Epoch 206, Loss 22.157665252685547, Lr: 0.00100000
[2023-12-05 14:31:44,478] Epoch 207, Loss 13.312074661254883, Lr: 0.00100000
[2023-12-05 14:31:46,088] Epoch 208, Loss 16.70598030090332, Lr: 0.00100000
[2023-12-05 14:31:46,836] Epoch 209, Loss 21.611082077026367, Lr: 0.00100000
[2023-12-05 14:31:48,602] Epoch 210, Loss 23.58304214477539, Lr: 0.00100000
[2023-12-05 14:31:53,038] Epoch 211, Loss 42.40498352050781, Lr: 0.00100000
[2023-12-05 14:31:54,892] Epoch 212, Loss 43.06825256347656, Lr: 0.00100000
[2023-12-05 14:31:56,455] Epoch 213, Loss 14.847480773925781, Lr: 0.00100000
[2023-12-05 14:31:57,399] Epoch 214, Loss 12.859663009643555, Lr: 0.00100000
[2023-12-05 14:31:58,092] Epoch 215, Loss 29.433162689208984, Lr: 0.00100000
[2023-12-05 14:31:58,669] Epoch 216, Loss 9.039880752563477, Lr: 0.00100000
[2023-12-05 14:32:00,974] Epoch 217, Loss 37.492576599121094, Lr: 0.00100000
[2023-12-05 14:32:01,795] Epoch 218, Loss 22.135164260864258, Lr: 0.00100000
[2023-12-05 14:32:07,441] Epoch 219, Loss 27.191659927368164, Lr: 0.00100000
[2023-12-05 14:32:13,485] Epoch 220, Loss 0.07964882254600525, Lr: 0.00100000
[2023-12-05 14:32:14,582] Epoch 221, Loss 27.113401412963867, Lr: 0.00100000
[2023-12-05 14:32:15,343] Epoch 222, Loss 9.755374908447266, Lr: 0.00100000
[2023-12-05 14:32:18,737] Epoch 223, Loss 133.06300354003906, Lr: 0.00100000
[2023-12-05 14:32:19,625] Epoch 224, Loss 11.107738494873047, Lr: 0.00100000
[2023-12-05 14:32:22,047] Epoch 225, Loss 46.39320755004883, Lr: 0.00100000
[2023-12-05 14:32:22,417] Epoch 226, Loss 8.505922317504883, Lr: 0.00100000
[2023-12-05 14:32:22,915] Epoch 227, Loss 21.63162612915039, Lr: 0.00100000
[2023-12-05 14:32:24,811] Epoch 228, Loss 47.165985107421875, Lr: 0.00100000
[2023-12-05 14:32:25,524] Epoch 229, Loss 21.29000473022461, Lr: 0.00100000
[2023-12-05 14:32:27,547] Epoch 230, Loss 32.39094924926758, Lr: 0.00100000
