[2023-12-14 21:40:02,494] Filepath does not exist: _conv/models/best.h5
[2023-12-14 21:40:02,496] Initializing new model
[2023-12-14 21:48:11,488] Epoch: 300 to 350, Batch: 62.50%, Mean Reward: -0.44, MSE: 0.93325, LR: 0.00591
[2023-12-14 21:48:12,978] Epoch: 300 to 350, Batch: 68.75%, Mean Reward: -0.44, MSE: 0.93229, LR: 0.00588
[2023-12-14 21:48:14,390] Epoch: 300 to 350, Batch: 75.00%, Mean Reward: -0.84, MSE: 1.02025, LR: 0.00585
[2023-12-14 21:48:15,824] Epoch: 300 to 350, Batch: 81.25%, Mean Reward: -0.44, MSE: 0.93297, LR: 0.00582
[2023-12-14 21:48:17,234] Epoch: 300 to 350, Batch: 87.50%, Mean Reward: -0.52, MSE: 0.94885, LR: 0.00579
[2023-12-14 21:48:18,676] Epoch: 300 to 350, Batch: 93.75%, Mean Reward: -0.36, MSE: 0.90923, LR: 0.00576
[2023-12-14 21:48:20,106] Epoch: 300 to 350, Batch: 100.00%, Mean Reward: -0.28, MSE: 0.90004, LR: 0.00573
[2023-12-14 21:49:11,882] Epoch: 350 to 400, Batch: 6.25%, Mean Reward: -0.20, MSE: 0.88797, LR: 0.00570
[2023-12-14 21:49:13,388] Epoch: 350 to 400, Batch: 12.50%, Mean Reward: -0.60, MSE: 0.96368, LR: 0.00568
[2023-12-14 21:49:14,883] Epoch: 350 to 400, Batch: 18.75%, Mean Reward: -0.68, MSE: 0.98826, LR: 0.00565
[2023-12-14 21:49:16,310] Epoch: 350 to 400, Batch: 25.00%, Mean Reward: -0.52, MSE: 0.95249, LR: 0.00562
[2023-12-14 21:49:17,694] Epoch: 350 to 400, Batch: 31.25%, Mean Reward: -0.44, MSE: 0.94140, LR: 0.00559
[2023-12-14 21:49:19,153] Epoch: 350 to 400, Batch: 37.50%, Mean Reward: -0.60, MSE: 0.96367, LR: 0.00556
[2023-12-14 21:49:20,538] Epoch: 350 to 400, Batch: 43.75%, Mean Reward: -0.28, MSE: 0.90112, LR: 0.00554
[2023-12-14 21:49:22,005] Epoch: 350 to 400, Batch: 50.00%, Mean Reward: -0.12, MSE: 0.86507, LR: 0.00551
[2023-12-14 21:49:23,471] Epoch: 350 to 400, Batch: 56.25%, Mean Reward: -0.20, MSE: 0.88406, LR: 0.00548
[2023-12-14 21:49:24,942] Epoch: 350 to 400, Batch: 62.50%, Mean Reward: -0.44, MSE: 0.93327, LR: 0.00545
