[2023-11-28 09:36:07,660] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:57:52,077] Epoch 118, Loss 3.518435001373291
[2023-11-28 09:57:53,586] Epoch 119, Loss 44.8396110534668
[2023-11-28 09:57:55,035] Epoch 120, Loss 18.046667098999023
[2023-11-28 09:57:58,648] Epoch 121, Loss 11.398369789123535
[2023-11-28 09:57:59,221] Epoch 122, Loss 9.479790687561035
[2023-11-28 09:58:00,240] Epoch 123, Loss 0.28995537757873535
[2023-11-28 09:58:00,795] Epoch 124, Loss 17.389448165893555
[2023-11-28 09:58:02,944] Epoch 125, Loss 1.8707600831985474
[2023-11-28 09:58:03,705] Epoch 126, Loss 0.421938955783844
[2023-11-28 09:58:05,667] Epoch 127, Loss 18.22882652282715
[2023-11-28 09:58:07,450] Epoch 128, Loss 35.54377365112305
[2023-11-28 09:58:07,848] Epoch 129, Loss 9.437588691711426
[2023-11-28 09:58:08,197] Epoch 130, Loss 0.2123469114303589
[2023-11-28 09:58:10,081] Epoch 131, Loss 11.906473159790039
[2023-11-28 09:58:12,126] Epoch 132, Loss 26.108339309692383
[2023-11-28 09:58:12,490] Epoch 133, Loss 9.36003589630127
[2023-11-28 09:58:12,802] Epoch 134, Loss 0.16871121525764465
[2023-11-28 09:58:14,469] Epoch 135, Loss 10.724841117858887
[2023-11-28 09:58:17,196] Epoch 136, Loss 19.811800003051758
[2023-11-28 09:58:17,808] Epoch 137, Loss 34.63157272338867
[2023-11-28 09:58:19,017] Epoch 138, Loss 0.4382343292236328
[2023-11-28 09:58:21,000] Epoch 139, Loss 19.759090423583984
[2023-11-28 09:58:23,142] Epoch 140, Loss 44.053462982177734
[2023-11-28 09:58:25,230] Epoch 141, Loss 1.8830887079238892
[2023-11-28 09:58:27,665] Epoch 142, Loss 10.286723136901855
[2023-11-28 09:58:29,513] Epoch 143, Loss 19.5203857421875
[2023-11-28 09:58:31,089] Epoch 144, Loss 1.2760463953018188
[2023-11-28 09:58:32,976] Epoch 145, Loss 35.86400604248047
[2023-11-28 09:58:35,596] Epoch 146, Loss 18.426025390625
[2023-11-28 09:58:37,521] Epoch 147, Loss 1.6859478950500488
[2023-11-28 09:58:39,599] Epoch 148, Loss 27.46884536743164
[2023-11-28 09:58:41,062] Epoch 149, Loss 52.21691131591797
[2023-11-28 09:58:43,340] Epoch 150, Loss 36.6798095703125
[2023-11-28 09:58:43,340] Saved model at ./models_wzlen/epoch_150.h5
[2023-11-28 09:58:43,341] Loaded existing model at ./models_wzlen/epoch_150.h5
[2023-11-28 10:00:07,046] Saved model at ./models_wzlen/best.h5
[2023-11-28 10:00:07,046] ./models_wzlen/epoch_150.h5 is saved as the strongest model
[2023-11-28 10:00:09,007] Epoch 151, Loss 11.685396194458008
[2023-11-28 10:00:10,736] Epoch 152, Loss 27.30548095703125
[2023-11-28 10:00:12,369] Epoch 153, Loss 35.50916290283203
[2023-11-28 10:00:14,561] Epoch 154, Loss 10.21585464477539
[2023-11-28 10:00:16,166] Epoch 155, Loss 12.35995101928711
[2023-11-28 10:00:17,386] Epoch 156, Loss 1.8055301904678345
[2023-11-28 10:00:17,817] Epoch 157, Loss 0.4212951064109802
[2023-11-28 10:00:19,334] Epoch 158, Loss 18.88300323486328
[2023-11-28 10:00:21,620] Epoch 159, Loss 36.625003814697266
[2023-11-28 10:00:23,793] Epoch 160, Loss 36.256492614746094
[2023-11-28 10:00:25,736] Epoch 161, Loss 35.934852600097656
[2023-11-28 10:00:26,807] Epoch 162, Loss 17.56838035583496
[2023-11-28 10:00:27,963] Epoch 163, Loss 34.474361419677734
[2023-11-28 10:00:29,484] Epoch 164, Loss 18.619077682495117
[2023-11-28 10:00:30,522] Epoch 165, Loss 18.22918701171875
[2023-11-28 10:00:31,241] Epoch 166, Loss 0.9843205809593201
[2023-11-28 10:00:33,932] Epoch 167, Loss 18.561208724975586
[2023-11-28 10:00:35,327] Epoch 168, Loss 10.642243385314941
[2023-11-28 10:00:36,730] Epoch 169, Loss 27.49903106689453
[2023-11-28 10:00:37,388] Epoch 170, Loss 0.4365062713623047
[2023-11-28 10:00:38,471] Epoch 171, Loss 18.215316772460938
[2023-11-28 10:00:38,997] Epoch 172, Loss 17.457761764526367
[2023-11-28 10:00:41,974] Epoch 173, Loss 99.80950164794922
[2023-11-28 10:00:42,957] Epoch 174, Loss 17.98172950744629
[2023-11-28 10:00:43,850] Epoch 175, Loss 17.880151748657227
