[2023-11-28 11:35:35,055] File ./models_wzno/best.h5 does not exist
[2023-11-28 11:43:55,517] Epoch 305, Loss 4.3386688232421875
[2023-11-28 11:43:58,526] Epoch 306, Loss 1.2492767572402954
[2023-11-28 11:43:59,025] Epoch 307, Loss 1.2739720344543457
[2023-11-28 11:43:59,661] Epoch 308, Loss 1.4976177215576172
[2023-11-28 11:44:00,469] Epoch 309, Loss 0.7373449802398682
[2023-11-28 11:44:02,182] Epoch 310, Loss 9.695340156555176
[2023-11-28 11:44:04,772] Epoch 311, Loss 3.443927049636841
[2023-11-28 11:44:06,527] Epoch 312, Loss 10.815077781677246
[2023-11-28 11:44:08,025] Epoch 313, Loss 25.783607482910156
[2023-11-28 11:44:09,126] Epoch 314, Loss 18.737817764282227
[2023-11-28 11:44:09,592] Epoch 315, Loss 17.23245620727539
[2023-11-28 11:44:09,962] Epoch 316, Loss 0.12182580679655075
[2023-11-28 11:44:11,754] Epoch 317, Loss 9.321659088134766
[2023-11-28 11:44:13,102] Epoch 318, Loss 22.37484359741211
[2023-11-28 11:44:15,066] Epoch 319, Loss 48.400611877441406
[2023-11-28 11:44:16,486] Epoch 320, Loss 38.188819885253906
[2023-11-28 11:44:16,914] Epoch 321, Loss 1.1228564977645874
[2023-11-28 11:44:17,741] Epoch 322, Loss 1.309433102607727
[2023-11-28 11:44:18,772] Epoch 323, Loss 22.736404418945312
[2023-11-28 11:44:21,149] Epoch 324, Loss 67.02250671386719
[2023-11-28 11:44:22,733] Epoch 325, Loss 0.43414491415023804
[2023-11-28 11:44:23,786] Epoch 326, Loss 0.9065782427787781
[2023-11-28 11:44:26,714] Epoch 327, Loss 32.55824279785156
[2023-11-28 11:44:28,448] Epoch 328, Loss 17.39194679260254
[2023-11-28 11:44:28,761] Epoch 329, Loss 0.231004998087883
[2023-11-28 11:44:29,363] Epoch 330, Loss 17.346330642700195
[2023-11-28 11:44:31,678] Epoch 331, Loss 2.0129966735839844
[2023-11-28 11:44:32,101] Epoch 332, Loss 0.4476732313632965
[2023-11-28 11:44:33,846] Epoch 333, Loss 1.2371798753738403
[2023-11-28 11:44:34,973] Epoch 334, Loss 9.319289207458496
[2023-11-28 11:44:35,926] Epoch 335, Loss 1.2762752771377563
[2023-11-28 11:44:38,034] Epoch 336, Loss 19.495182037353516
[2023-11-28 11:44:39,550] Epoch 337, Loss 18.895315170288086
[2023-11-28 11:44:40,625] Epoch 338, Loss 17.827560424804688
[2023-11-28 11:44:41,304] Epoch 339, Loss 1.2788740396499634
