[2023-12-04 16:15:59,912] Filepath does not exist: ./models_conv/best.h5
[2023-12-04 16:15:59,912] Initializing new model
[2023-12-04 16:26:52,909] Epoch 285, Loss 30.665117263793945
[2023-12-04 16:26:53,622] Epoch 286, Loss 30.665546417236328
[2023-12-04 16:26:53,995] Epoch 287, Loss 24.902618408203125
[2023-12-04 16:26:54,291] Epoch 288, Loss 4.304938793182373
[2023-12-04 16:26:54,980] Epoch 289, Loss 34.508602142333984
[2023-12-04 16:26:55,810] Epoch 290, Loss 36.4299201965332
[2023-12-04 16:26:56,677] Epoch 291, Loss 10.33174991607666
[2023-12-04 16:26:57,639] Epoch 292, Loss 12.914658546447754
[2023-12-04 16:26:58,942] Epoch 293, Loss 13.775606155395508
[2023-12-04 16:26:59,986] Epoch 294, Loss 36.43052291870117
[2023-12-04 16:27:00,470] Epoch 295, Loss 26.82500648498535
[2023-12-04 16:27:01,100] Epoch 296, Loss 7.748746395111084
[2023-12-04 16:27:02,014] Epoch 297, Loss 34.5096435546875
[2023-12-04 16:27:02,389] Epoch 298, Loss 24.904083251953125
[2023-12-04 16:27:02,903] Epoch 299, Loss 28.746381759643555
[2023-12-04 16:27:03,594] Epoch 300, Loss 10.331623077392578
[2023-12-04 16:28:15,350] ./models_conv/epoch_300.h5 is saved as the latest model
[2023-12-04 16:28:16,216] Epoch 301, Loss 28.746463775634766
[2023-12-04 16:28:16,721] Epoch 302, Loss 28.746505737304688
[2023-12-04 16:28:18,106] Epoch 303, Loss 15.497410774230957
[2023-12-04 16:28:18,881] Epoch 304, Loss 10.331607818603516
[2023-12-04 16:28:19,401] Epoch 305, Loss 6.887734413146973
[2023-12-04 16:28:19,956] Epoch 306, Loss 9.470632553100586
[2023-12-04 16:28:21,034] Epoch 307, Loss 36.43115997314453
[2023-12-04 16:28:21,682] Epoch 308, Loss 7.748692035675049
[2023-12-04 16:28:23,219] Epoch 309, Loss 18.080278396606445
[2023-12-04 16:28:24,096] Epoch 310, Loss 12.053513526916504
[2023-12-04 16:28:24,377] Epoch 311, Loss 21.0621337890625
[2023-12-04 16:28:24,939] Epoch 312, Loss 6.887721538543701
[2023-12-04 16:28:25,210] Epoch 313, Loss 21.06215476989746
[2023-12-04 16:28:25,652] Epoch 314, Loss 26.825572967529297
[2023-12-04 16:28:26,245] Epoch 315, Loss 26.825576782226562
[2023-12-04 16:28:27,068] Epoch 316, Loss 32.588985443115234
[2023-12-04 16:28:27,737] Epoch 317, Loss 32.588985443115234
[2023-12-04 16:28:28,788] Epoch 318, Loss 36.43125915527344
[2023-12-04 16:28:29,870] Epoch 319, Loss 13.775434494018555
[2023-12-04 16:28:30,512] Epoch 320, Loss 26.82558250427246
[2023-12-04 16:28:31,772] Epoch 321, Loss 16.358327865600586
[2023-12-04 16:28:32,929] Epoch 322, Loss 38.35239028930664
[2023-12-04 16:28:34,205] Epoch 323, Loss 14.636408805847168
[2023-12-04 16:28:35,112] Epoch 324, Loss 36.43125915527344
[2023-12-04 16:28:36,383] Epoch 325, Loss 14.636402130126953
[2023-12-04 16:28:36,828] Epoch 326, Loss 6.026752948760986
[2023-12-04 16:28:37,494] Epoch 327, Loss 30.667850494384766
[2023-12-04 16:28:38,718] Epoch 328, Loss 14.636409759521484
[2023-12-04 16:28:39,767] Epoch 329, Loss 12.914477348327637
[2023-12-04 16:28:40,706] Epoch 330, Loss 32.58897399902344
[2023-12-04 16:28:41,528] Epoch 331, Loss 10.331582069396973
[2023-12-04 16:28:42,427] Epoch 332, Loss 10.331583976745605
[2023-12-04 16:28:42,629] Epoch 333, Loss 19.141021728515625
[2023-12-04 16:28:43,250] Epoch 334, Loss 8.609651565551758
[2023-12-04 16:28:43,993] Epoch 335, Loss 10.331583976745605
[2023-12-04 16:28:44,560] Epoch 336, Loss 7.748691082000732
[2023-12-04 16:28:45,127] Epoch 337, Loss 7.748687744140625
[2023-12-04 16:28:46,303] Epoch 338, Loss 46.03689956665039
[2023-12-04 16:28:47,047] Epoch 339, Loss 30.667816162109375
[2023-12-04 16:28:48,243] Epoch 340, Loss 15.49737548828125
[2023-12-04 16:28:48,790] Epoch 341, Loss 8.609651565551758
[2023-12-04 16:28:49,261] Epoch 342, Loss 6.887722492218018
[2023-12-04 16:28:50,500] Epoch 343, Loss 16.358341217041016
[2023-12-04 16:28:51,789] Epoch 344, Loss 42.194618225097656
