[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:54:44,936] Epoch 187, Loss 47.30517578125
[2023-12-02 22:54:46,873] Epoch 188, Loss 47.47914123535156
[2023-12-02 22:54:48,851] Epoch 189, Loss 44.26882553100586
[2023-12-02 22:54:49,940] Epoch 190, Loss 14.525728225708008
[2023-12-02 22:54:51,198] Epoch 191, Loss 41.25724411010742
[2023-12-02 22:54:52,375] Epoch 192, Loss 29.556896209716797
[2023-12-02 22:54:53,104] Epoch 193, Loss 55.81269454956055
[2023-12-02 22:54:54,541] Epoch 194, Loss 32.24678421020508
[2023-12-02 22:54:54,988] Epoch 195, Loss 32.32075500488281
[2023-12-02 22:54:56,557] Epoch 196, Loss 25.506959915161133
[2023-12-02 22:54:57,974] Epoch 197, Loss 101.82424926757812
[2023-12-02 22:55:00,058] Epoch 198, Loss 60.55310821533203
[2023-12-02 22:55:01,296] Epoch 199, Loss 43.36614227294922
[2023-12-02 22:55:02,270] Epoch 200, Loss 12.094121932983398
[2023-12-02 22:56:33,508] ./models_dens/epoch_200.h5 is saved as the latest model
[2023-12-02 22:56:33,752] Epoch 201, Loss 5.527225017547607
[2023-12-02 22:56:34,561] Epoch 202, Loss 33.333030700683594
[2023-12-02 22:56:35,817] Epoch 203, Loss 15.222638130187988
[2023-12-02 22:56:36,792] Epoch 204, Loss 27.38820457458496
[2023-12-02 22:56:38,403] Epoch 205, Loss 39.52973175048828
[2023-12-02 22:56:39,519] Epoch 206, Loss 27.244064331054688
[2023-12-02 22:56:41,383] Epoch 207, Loss 54.064239501953125
[2023-12-02 22:56:43,115] Epoch 208, Loss 24.839828491210938
[2023-12-02 22:56:43,637] Epoch 209, Loss 12.440213203430176
[2023-12-02 22:56:44,417] Epoch 210, Loss 16.54547882080078
[2023-12-02 22:56:46,674] Epoch 211, Loss 1.281938910484314
[2023-12-02 22:56:48,170] Epoch 212, Loss 117.15559387207031
[2023-12-02 22:56:48,627] Epoch 213, Loss 12.527957916259766
[2023-12-02 22:56:49,852] Epoch 214, Loss 29.454891204833984
[2023-12-02 22:56:50,683] Epoch 215, Loss 31.26355743408203
[2023-12-02 22:56:50,947] Epoch 216, Loss 8.509202003479004
[2023-12-02 22:56:52,524] Epoch 217, Loss 36.999820709228516
