[2023-12-26 21:20:06,072] kl: 0.02832, lrMultiplier: 0.088, loss: 2.14334, entropy: 1.39221, explVarOld: 0.041, explVarNew: 0.052
[2023-12-26 21:20:10,794] kl: 0.01794, lrMultiplier: 0.088, loss: 2.25882, entropy: 1.52449, explVarOld: 0.004, explVarNew: 0.010
[2023-12-26 21:20:16,719] kl: 0.02186, lrMultiplier: 0.088, loss: 2.17229, entropy: 1.53190, explVarOld: 0.066, explVarNew: 0.078
[2023-12-26 21:20:21,453] kl: 0.02506, lrMultiplier: 0.088, loss: 2.15803, entropy: 1.45016, explVarOld: 0.036, explVarNew: 0.054
[2023-12-26 21:20:26,408] kl: 0.02578, lrMultiplier: 0.088, loss: 2.12766, entropy: 1.41637, explVarOld: 0.019, explVarNew: 0.043
[2023-12-26 21:20:32,432] kl: 0.02154, lrMultiplier: 0.088, loss: 2.26941, entropy: 1.47863, explVarOld: 0.054, explVarNew: 0.058
[2023-12-26 21:20:35,986] kl: 0.01722, lrMultiplier: 0.088, loss: 2.16779, entropy: 1.50230, explVarOld: 0.063, explVarNew: 0.069
[2023-12-26 21:20:40,850] kl: 0.02299, lrMultiplier: 0.088, loss: 2.11301, entropy: 1.46716, explVarOld: 0.015, explVarNew: 0.048
[2023-12-26 21:20:46,961] kl: 0.00922, lrMultiplier: 0.132, loss: 2.13662, entropy: 1.40565, explVarOld: 0.085, explVarNew: 0.084
[2023-12-26 21:20:52,405] kl: 0.02730, lrMultiplier: 0.132, loss: 2.14104, entropy: 1.50001, explVarOld: 0.066, explVarNew: 0.069
[2023-12-26 21:20:56,997] kl: 0.02088, lrMultiplier: 0.132, loss: 2.17633, entropy: 1.48297, explVarOld: 0.056, explVarNew: 0.065
[2023-12-26 21:21:01,939] kl: 0.03216, lrMultiplier: 0.132, loss: 2.00381, entropy: 1.38657, explVarOld: 0.059, explVarNew: 0.068
[2023-12-26 21:21:06,498] kl: 0.03804, lrMultiplier: 0.132, loss: 2.11287, entropy: 1.34257, explVarOld: 0.022, explVarNew: 0.033
[2023-12-26 21:21:12,434] kl: 0.02346, lrMultiplier: 0.132, loss: 2.08079, entropy: 1.40731, explVarOld: 0.076, explVarNew: 0.080
[2023-12-26 21:21:17,769] kl: 0.04388, lrMultiplier: 0.088, loss: 2.05635, entropy: 1.41008, explVarOld: 0.025, explVarNew: 0.045
[2023-12-26 21:21:23,334] kl: 0.03268, lrMultiplier: 0.088, loss: 2.01663, entropy: 1.33785, explVarOld: 0.060, explVarNew: 0.061
[2023-12-26 21:21:30,708] kl: 0.01316, lrMultiplier: 0.088, loss: 2.07297, entropy: 1.40568, explVarOld: 0.076, explVarNew: 0.079
[2023-12-26 21:21:35,258] kl: 0.01090, lrMultiplier: 0.088, loss: 1.97152, entropy: 1.40913, explVarOld: 0.052, explVarNew: 0.057
[2023-12-26 21:21:40,954] kl: 0.01377, lrMultiplier: 0.088, loss: 2.05279, entropy: 1.45788, explVarOld: 0.050, explVarNew: 0.052
[2023-12-26 21:21:47,380] kl: 0.04775, lrMultiplier: 0.088, loss: 1.93718, entropy: 1.34707, explVarOld: 0.053, explVarNew: 0.060
[2023-12-26 21:21:52,006] kl: 0.03241, lrMultiplier: 0.088, loss: 2.09844, entropy: 1.41354, explVarOld: 0.075, explVarNew: 0.080
[2023-12-26 21:21:56,671] kl: 0.01471, lrMultiplier: 0.088, loss: 2.10236, entropy: 1.42997, explVarOld: 0.012, explVarNew: 0.023
[2023-12-26 21:22:02,585] kl: 0.04901, lrMultiplier: 0.088, loss: 1.89080, entropy: 1.32902, explVarOld: 0.049, explVarNew: 0.053
[2023-12-26 21:22:08,103] kl: 0.03616, lrMultiplier: 0.088, loss: 2.08101, entropy: 1.36959, explVarOld: 0.020, explVarNew: 0.025
[2023-12-26 21:22:11,940] kl: 0.02236, lrMultiplier: 0.088, loss: 2.07360, entropy: 1.33070, explVarOld: 0.068, explVarNew: 0.078
[2023-12-26 21:22:16,710] kl: 0.02691, lrMultiplier: 0.088, loss: 1.92380, entropy: 1.40814, explVarOld: 0.013, explVarNew: 0.019
[2023-12-26 21:22:20,980] kl: 0.01446, lrMultiplier: 0.088, loss: 2.01560, entropy: 1.40498, explVarOld: 0.032, explVarNew: 0.034
