[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:38:56,835] Epoch: 157, MSE: 0.8410936594009399, Reward: -1, LR: 0.00208
[2023-12-06 12:39:10,347] Epoch: 158, MSE: 0.8310322761535645, Reward: -1, LR: 0.00206
[2023-12-06 12:39:23,383] Epoch: 159, MSE: 0.7966741323471069, Reward: 1, LR: 0.00204
[2023-12-06 12:39:34,343] Epoch: 160, MSE: 0.8221006393432617, Reward: -1, LR: 0.00202
[2023-12-06 12:39:47,035] Epoch: 161, MSE: 0.815735399723053, Reward: -1, LR: 0.00200
[2023-12-06 12:39:57,951] Epoch: 162, MSE: 0.8178682327270508, Reward: -1, LR: 0.00198
[2023-12-06 12:40:10,728] Epoch: 163, MSE: 0.8145076036453247, Reward: -1, LR: 0.00196
[2023-12-06 12:40:21,039] Epoch: 164, MSE: 0.8140228390693665, Reward: -1, LR: 0.00194
[2023-12-06 12:40:32,329] Epoch: 165, MSE: 0.803435742855072, Reward: 1, LR: 0.00192
[2023-12-06 12:40:47,410] Epoch: 166, MSE: 0.813881516456604, Reward: 1, LR: 0.00190
[2023-12-06 12:41:00,861] Epoch: 167, MSE: 0.8158435821533203, Reward: 1, LR: 0.00189
[2023-12-06 12:41:12,204] Epoch: 168, MSE: 0.8110965490341187, Reward: 1, LR: 0.00187
[2023-12-06 12:41:31,573] Epoch: 169, MSE: 0.8096274137496948, Reward: 1, LR: 0.00185
[2023-12-06 12:41:46,101] Epoch: 170, MSE: 0.8045366406440735, Reward: 1, LR: 0.00183
[2023-12-06 12:42:01,224] Epoch: 171, MSE: 0.8057661056518555, Reward: 1, LR: 0.00181
[2023-12-06 12:42:12,539] Epoch: 172, MSE: 0.8251007795333862, Reward: -1, LR: 0.00179
[2023-12-06 12:42:28,252] Epoch: 173, MSE: 0.8210328221321106, Reward: -1, LR: 0.00178
[2023-12-06 12:42:40,932] Epoch: 174, MSE: 0.8037973642349243, Reward: 1, LR: 0.00176
[2023-12-06 12:42:52,004] Epoch: 175, MSE: 0.8283166885375977, Reward: -1, LR: 0.00174
[2023-12-06 12:43:03,150] Epoch: 176, MSE: 0.8271058797836304, Reward: -1, LR: 0.00172
[2023-12-06 12:43:16,559] Epoch: 177, MSE: 0.8256533741950989, Reward: -1, LR: 0.00171
[2023-12-06 12:43:31,677] Epoch: 178, MSE: 0.795700192451477, Reward: 1, LR: 0.00169
[2023-12-06 12:43:43,047] Epoch: 179, MSE: 0.8272184133529663, Reward: -1, LR: 0.00167
[2023-12-06 12:43:54,109] Epoch: 180, MSE: 0.8271530866622925, Reward: -1, LR: 0.00165
[2023-12-06 12:44:05,281] Epoch: 181, MSE: 0.7920821309089661, Reward: 1, LR: 0.00164
[2023-12-06 12:44:15,731] Epoch: 182, MSE: 0.7869951725006104, Reward: 1, LR: 0.00162
[2023-12-06 12:44:28,786] Epoch: 183, MSE: 0.8253403306007385, Reward: -1, LR: 0.00161
[2023-12-06 12:44:39,947] Epoch: 184, MSE: 0.8305989503860474, Reward: -1, LR: 0.00159
[2023-12-06 12:44:50,656] Epoch: 185, MSE: 0.7878611087799072, Reward: 1, LR: 0.00157
[2023-12-06 12:45:01,187] Epoch: 186, MSE: 0.7872214913368225, Reward: 1, LR: 0.00156
[2023-12-06 12:45:11,761] Epoch: 187, MSE: 0.7878692150115967, Reward: 1, LR: 0.00154
[2023-12-06 12:45:28,056] Epoch: 188, MSE: 0.7910346984863281, Reward: 1, LR: 0.00153
